"アイス","Ice"
"アイスボック","Eisbock"
"アイリッシュ・エール","Irish Ale"
"アイリッシュ・スタウト","Irish Stout"
"アビー","Abbey"
"アメリカン・ワイルド・エール","American Wild Ale"
"アルト","Altbier"
"アンバー・エール","Amber Ale"
"アンバー・ハイブリッド","Amber Hybrid"
"アンバー・ラガー","Amber Lager"
"イングリッシュ・ペール・エール","English Pale Ale"
"インディアン・ペール・エール (IPA)","Indian Pale Ale (IPA)"
"インペリアル・IPA","Imperial IPA"
"インペリアル・スタウト","Imperial Stout"
"インペリアル・ポーター","Imperial Porter"
"ヴァイツェン","Weizen"
"ウィンター","Winter"
"ウィー・ヘビー","Wee Heavy"
"ウィート","Wheat"
"ウィーン・ラガー","Vienna Lager"
"エキストラ・スペシャル・ビター (ESB)","Extra Special Bitter (ESB)"
"エール","Ale"
"オクトーバーフェスト","Oktoberfest"
"オールド・エール","Old Ale"
"クリスマス","Christmas"
"クリーム・エール","Cream Ale"
"グルテン・フリー","Gluten Free"
"クロスター・ビール","Kloster Bier"
"グーズ","Geueze"
"ケルシュ","Kolsch"
"ケルシュスタイル","Koelsch-Style Ale"
"サイダー","Cider"
"サマー・エール","Summer Ale"
"シュヴァルツ","Schwarzbier"
"スコティッシュ・エール","Scottish Ale"
"スタウト","Stout"
"スチーム","Steam"
"ストロング・エール","Strong Ale"
"ストロング・スコッチ・エール","Strong Scotch Ale"
"スパイス/ハーブ/ベジタブル","Spice/Herb/Vegetable"
"スプリング・エール","Spring Ale"
"セゾン","Saison"
"ダブル","Double"
"ドゥンケル/ダーク・ラガー","Dunkel/Dark Lager"
"ドッペルボック","Doppelbock"
"ドライ","Dry"
"トラピスト","Trappist"
"トリプル","Tripel"
"ドルトムント","Dort"
"ノンアルコール","Non-Alcoholic"
"ハニー","Honey"
"パンプキン","Pumpkin"
"ハーベスト","Harvest"
"バーレイワイン","Barleywine"
"ビター","Bitter"
"ピルスナー","Pilsner"
"ファロ","Faro"
"フェストビール","Festbier"
"ブラウン・エール","Brown Ale"
"ブラック・エール","Black Ale"
"ブラック・ラガー","Black Lager"
"フルーツ","Fruit"
"フレミッシュ・エール","Flemish Ale"
"ブロンド・エール","Blonde Ale"
"ベルジャン・エール","Belgian Ale"
"ベルリナーヴァイセ","Berliner Weisse"
"ヘレス","Helles"
"ヘーフェヴァイツェン","Hefeweizen"
"ペール・エール","Pale Ale"
"ボック","Bock"
"ホワイト","White"
"ポーター","Porter"
"マイボック","Maibock"
"マイルド","Mild"
"ミード","Mead"
"メルツェン","Marzen"
"メロメル (フルーツ・ミード)","Melomel (Fruit Mead)"
"ライ・ビール","Rye Beer"
"ライト","Light"
"ライト・ハイブリッド","Light Hybrid"
"ラガー","Lager"
"ランビック","Lambic"
"レッド・エール","Red Ale"
"ロシアン・インペリアル・スタウト","Russian Imperial Stout"
"その他","Other"
